namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_designation,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
ONL: Arabian,Osiris1975,ARABIAN,Jaysh Alhujum $C$,Aljaysh Almustansakh $C$,Jaysh Aldifae $C$,Jaysh Almuharib Aljinii $C$,Jaysh Alsinaeiu $C$,Jaysh Hujum Ala $C$,Jaysh Hujum Ala $C$,Jaysh Hujum Ala $C$,Jaysh Aldifae Alali $C$,Jaysh Alaihtilal $C$,Jaysh Ma Baed Aldharaat $C$,Jaysh Bidayiy $C$,Jaysh Bisyuni $C$,Jaysh 'iinsan Ali $C$,Jaysh 'iinsan Ali Difae $C$,Jaysh 'iinsan Ali al-Aihtilal $C$,Jaysh al-Eubayd $C$,Jaysh Mayt Hay $C$,Jaysh al-Kayin al-Fadayiyun $C$,Aaliyah,Abbas,Aisha,Abd ar-Rahman,al-'Adid,Abadi,Ustul $C$,,,,,,,,Cairo,,,,,Ibrahim,Al-Walid,Muawiyah,Nile,Ghisha,Sahara,Sahara,Scimitar,Mamluk,Iqbal,Abu Bakr,,Al-Farabi,Rashidun,Scimitar,,,Midfae,,,,,Al-Farabi,Al-Farabi,,Al-Rashid,,Umayyad,Ayachi,Midfae Kabir
,,,,,,,,,,,,,,,,,,,,,,Adara,Abdul,Fatima,Ali,al-'Adil I,Abboud,,,,,,,,,Baghdad,,,,,al-Mansur,Sulayman,Yazid,Euphrates,Eimlaq,Sinai,Sinai,Shamsir,Assad,Jinnah,Umar,,Al-Battani,,Shamsir,,,,,,,,Al-Battani,Al-Battani,,Al-Amin,,Abbasid,Afella,
,,,,,,,,,,,,,,,,,,,,,,Afja,Abid,Hafsah,Ali,al-'Aziz,Abdallah,,,,,,,,,Riyadh,,,,,al-Mahdi,Abd al-Aziz,Marwan,Tigris,Dakhm,Toubkai,Toubkai,Acinaces,Zengid,Massoud,Uthman,,Ibn Sina,,Acinaces,,,,,,,,Ibn Sina,Ibn Sina,,Al-Wathiq,,,Azurki,
,,,,,,,,,,,,,,,,,,,,,,Aifa,Abu Hurayrah,Juwayriyyah,Hamad,al-'Aziz Ghiyath al-Din,Ahmad,,,,,,,,,Alexandria,,,,,Al-Hadi,Hisham,Abd al-Malik,Litani,Kabir,Sawda,Sawda,Kilij,Fatima,Tipu,Ali,,Al-Khwarizmi,,Kilij,,,,,,,,Al-Khwarizmi,Al-Khwarizmi,,Al-Munastir,,,Angour,
,,,,,,,,,,,,,,,,,,,,,,Ainaz,Adam,Khadijah,Harun,al-'Aziz Zahir al-Din Tughtigin,Ali,,,,,,,,,Dubai,,,,,,Saladin,,Orontes,,Ayachi,,Pulwar,Zaid ibn Ali,Murad,,,Omar Khayyam,,Pulwar,,,,,,,,Omar Khayyam,Omar Khayyam,,Al-Qahir,,,,
,,,,,,,,,,,,,,,,,,,,,,Aisha,Adeem,Mariah,Hassan,al-Afdal,Almasi,,,,,,,,,Jeddah,,,,,,,,Yarmouk,,Afella,,Talwar,al-Saud,Abbas,,,Al-Razi,,Talwar,,,,,,,,Al-Razi,Al-Razi,,Al-Radi,,,,
,,,,,,,,,,,,,,,,,,,,,,Aliyna,Adib,Maymunah,Hisham,al-Amin,Amari,,,,,,,,,Basrah,,,,,,,,Diyali,,Azurki,,Yataghan,Ghazi,Malik Ambar,,,Ibn Haiyan,,Yataghan,,,,,,,,Ibn Haiyan,Ibn Haiyan,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Alizha,Adil,Rayhanah,Hussein,al-Amir,Amin,,,,,,,,,Giza,,,,,,,,,,Angour,,Khanjar,,Niazi,,,Al-Kindi,,Khanjar,,,,,,,,Al-Kindi,Al-Kindi,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amal,Adnan,Ruqayya,Ibrahim,al-Ashraf,Antar,,,,,,,,,Al Mawsil al Jadidah,,,,,,,,,,,,Kard,,Bairam Khan,,,Al-Haytham,,Kard,,,,,,,,Al-Haytham,Al-Haytham,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Amani,Afif,Safiyyah,Ismail,al-Din Ayubbi,Antoun,,,,,,,,,Al Basrah al Qadimah,,,,,,,,,,,,,,,,,Ibn Zuhr,,,,,,,,,,Ibn Zuhr,Ibn Zuhr,,,,,,
